TimeStamp,SiteName,TrapLocation,PlotName,Quadrant,SiteCode,Species,SampleNumber,SampleLabel,Height,BasalDiameter,Browsed,BrowsedBy,FoliageDisease,Berries,AmountSample_AmtAvail,StoiComment,BaggedWetWeight,BagCount,BagSize,BagWeight,SampleWeight,SampleWeightAfterAFL,StoiLabel,UUID_VegFieldForm,UniqueID,WeighingComments
2016-07-19 12:32,Bloomfield,A7,Bloomfield+A7,SW,BL,VAAN,,BL_A7_VAAN_3,23,0.3,NB,O,,,100,,5.4,1,S,2,3.4,0,BL_A7_VAAN,14826463-E56D-4A93-AEE9-7B721DD7074F,CCFC1891-DEF6-42CB-9BDE-0C3FCFB2A134,
2016-07-19 12:36,Bloomfield,A7,Bloomfield+A7,"NW
",BL,VAAN,,BL_A7_VAAN_4,17,0.4,B,H,,,100,,4.3,1,S,2,2.3,0,BL_A7_VAAN,14826463-E56D-4A93-AEE9-7B721DD7074F,377F3150-CB14-4360-843F-09D0CAC5E607,
2016-07-21 12:46,Bloomfield,A9,Bloomfield+A9,NE,BL,VAAN,,BL_A9_VAAN_1,3.5,0.6,NB,I,,,80,,11,1,S,2,9,4.5,BL_A9_VAAN,4FDF3CA4-3752-47F5-BB1D-835E40F56C1C,196D914B-62BA-4033-9440-954D98541DAC,
2016-07-21 12:50,Bloomfield,A9,Bloomfield+A9,SE,BL,VAAN,,BL_A9_VAAN_2,19,0.3,NB,I,Y,,100,Blight,6.1,1,S,2,4.1,1.5,BL_A9_VAAN,4FDF3CA4-3752-47F5-BB1D-835E40F56C1C,05943991-7380-46E9-9256-B1C9B0179BD8,
2016-07-21 12:55,Bloomfield,A9,Bloomfield+A9,SW,BL,VAAN,,BL_A9_VAAN_3,22,0.2,NB,I,Y,,100,Blight,6.8,1,S,2,4.8,2.5,BL_A9_VAAN,4FDF3CA4-3752-47F5-BB1D-835E40F56C1C,35CDD2B0-96F1-44C0-89F6-102EEC2734C2,
2016-07-21 13:05,Bloomfield,A9,Bloomfield+A9,NW,BL,VAAN,,BL_A9_VAAN_4,23,0.2,NB,I,,,100,,6.6,1,S,2,4.6,0,BL_A9_VAAN,4FDF3CA4-3752-47F5-BB1D-835E40F56C1C,8B2373E3-079E-4F75-8689-B14905959F64,
2016-07-22 10:01,Bloomfield,C10,Bloomfield+C10,NE,BL,VAAN,,BL_C10_VAAN_1,19,0.2,B,O,,,100,,3.4,1,S,2,1.4,0,BL_C10_VAAN,D2856A89-244F-4D73-8575-F8410DE135FE,7FA77BF5-8B50-44EA-8ABE-E6945E1E34C2,
2016-07-22 10:01,Bloomfield,C10,Bloomfield+C10,NE,BL,VAAN,,BL_C10_VAAN_2,17,0.1,NB,I,,,100,,3.5,1,S,2,1.5,0,BL_C10_VAAN,D2856A89-244F-4D73-8575-F8410DE135FE,B7B5AE99-2CDC-4FF0-8E3B-31DC5E51E0DF,
2016-07-22 10:04,Bloomfield,C10,Bloomfield+C10,SE,BL,VAAN,,BL_C10_VAAN_3,27,0.2,NB,I,,,100,,6.9,1,S,2,4.9,0,BL_C10_VAAN,D2856A89-244F-4D73-8575-F8410DE135FE,9B29FB34-1552-4FC0-8148-18339AC74666,
2016-07-22 10:08,Bloomfield,C10,Bloomfield+C10,SW,BL,VAAN,,BL_C10_VAAN_4,27,0.3,NB,I,,,100,,7.2,1,S,2,5.2,0,BL_C10_VAAN,D2856A89-244F-4D73-8575-F8410DE135FE,BCA640EC-8728-429A-A1CB-40629A971B75,
2016-07-22 10:15,Bloomfield,C10,Bloomfield+C10,NW,BL,VAAN,,BL_C10_VAAN_5,21,0.4,NB,,Y,,100,Blight,6,1,S,2,4,0,BL_C10_VAAN,D2856A89-244F-4D73-8575-F8410DE135FE,DFDDD6E0-E1B0-4DA1-94A5-3063815A4B38,
2016-07-20 12:26,Bloomfield,C12,Bloomfield+C12,NE,BL,VAAN,,BL_C12_VAAN_1,35,0.5,NB,I,Y,,80,Blight,7.8,1,S,2,5.8,2.8,BL_C12_VAAN ,AB4D6E99-9D7A-41FE-B5B1-3C03648EC4C4,3DFF7DE8-1A05-4F9A-B20C-9922A2104880,
2016-07-20 12:37,Bloomfield,C12,Bloomfield+C12,SE,BL,VAAN,,BL_C12_VAAN_2,25,0.2,NB,,,,100,,3.8,1,S,2,1.8,0,BL_C12_VAAN ,AB4D6E99-9D7A-41FE-B5B1-3C03648EC4C4,2655E6A5-8F56-42FA-9B1F-35C93E472B48,
2016-07-20 12:40,Bloomfield,C12,Bloomfield+C12,SW,BL,VAAN,,BL_C12_VAAN_3,18,0.2,NB,,Y,,100,"Blight, old browse",6.2,1,S,2,4.2,0,BL_C12_VAAN ,AB4D6E99-9D7A-41FE-B5B1-3C03648EC4C4,CB97DB7A-A3C0-4CC9-8D9F-ACAAE7ECA356,
2016-07-20 12:51,Bloomfield,C12,Bloomfield+C12,NW,BL,VAAN,,BL_C12_VAAN_4,30,0.4,NB,I,,,100,,5.1,1,S,2,3.1,0,BL_C12_VAAN ,AB4D6E99-9D7A-41FE-B5B1-3C03648EC4C4,9AF10075-11DE-40D1-8AF8-80D0AECF58B9,
2016-07-22 9:07,Bloomfield,C14,Bloomfield+C14,SE,BL,VAAN,,BL_C14_VAAN_1,22,0.5,NB,I,Y,,100,Blight,6.8,1,S,2,4.8,0,BL_C14_VAAN,D3E8EFC0-A27F-4891-AC75-B3DB63923B09,F4960864-1382-465B-8BB1-2CA7763F3684,
2016-07-22 9:16,Bloomfield,C14,Bloomfield+C14,SW,BL,VAAN,,BL_C14_VAAN_2,24,0.1,NB,I,Y,,100,"Old hare browse, blight",7,1,S,2,5,0,BL_C14_VAAN,D3E8EFC0-A27F-4891-AC75-B3DB63923B09,ADBF94E1-C67C-4C59-8F5C-3C8AA671B4EF,
2016-07-22 9:25,Bloomfield,C14,Bloomfield+C14,NW,BL,VAAN,,BL_C14_VAAN_3,22,0.3,B,"M
I",,,100,,5.1,1,S,2,3.1,0,BL_C14_VAAN,D3E8EFC0-A27F-4891-AC75-B3DB63923B09,16FEC10C-0A42-4971-B0E6-79A060B874B1,
2016-07-21 16:19,Bloomfield,C2,Bloomfield+C2,SE,BL,BEPA,,BL_C2_BEPA_1,41,0.5,B,"O
M
I",,,80,,14.9,1,S,2,12.9,0,BL_C2_BEPA,7EC744D7-6E71-4464-8DAF-840E59692FD0,B97B1985-AC71-4964-8C47-25A23CA8849B,
2016-07-21 16:31,Bloomfield,C2,Bloomfield+C2,SW,BL,VAAN,,BL_C2_VAAN_1,28,0.2,B,O,,,100,,5.1,1,S,2,3.1,0,BL_C2_VAAN,7EC744D7-6E71-4464-8DAF-840E59692FD0,5B21DB8D-DDE7-4AE8-85F9-0FF8A0FF7069,
2016-07-21 16:40,Bloomfield,C2,Bloomfield+C2,NW,BL,VAAN,,BL_C2_VAAN_2,37,0.4,NB,I,,,100,,8.9,1,S,2,6.9,0,BL_C2_VAAN,7EC744D7-6E71-4464-8DAF-840E59692FD0,1B767A5C-20F1-4093-8C58-CEE3B9F49A4F,
2016-07-21 15:35,Bloomfield,C4,Bloomfield+C4,NW,BL,BEPA,,BL_C4_BEPA_1,54,0.8,B,"H
M",,,60,,18.3,1,S,2,16.3,0,BL_C4_BEPA,991B0495-5C1F-4EAE-BF83-989ED4AA80C2,DB20A2E3-64F2-4642-AEBE-E2652D9C758C,
2016-07-21 15:20,Bloomfield,C4,Bloomfield+C4,NE,BL,VAAN,,BL_C4_VAAN_1,30,0.5,NB,NA,,,90,,12.2,1,S,2,10.2,7.3,BL_C4_VAAN,991B0495-5C1F-4EAE-BF83-989ED4AA80C2,37A7CC0E-6463-4E58-AFEB-BAEE93810568,
2016-07-21 15:26,Bloomfield,C4,Bloomfield+C4,SE,BL,VAAN,,BL_C4_VAAN_2,22,0.3,NB,NA,,,90,,8.5,1,S,2,6.5,2,BL_C4_VAAN,991B0495-5C1F-4EAE-BF83-989ED4AA80C2,54807B40-1E97-4A95-A347-F5FDCB3427AE,
2016-07-21 15:33,Bloomfield,C4,Bloomfield+C4,SW,BL,VAAN,,BL_C4_VAAN_3,27,0.3,B,H,,,100,,7,1,S,2,5,0,BL_C4_VAAN,991B0495-5C1F-4EAE-BF83-989ED4AA80C2,0765DCF1-4F17-4927-9B8D-8F3944D010CF,
2016-07-21 15:48,Bloomfield,C4,Bloomfield+C4,NW,BL,VAAN,,BL_C4_VAAN_4,22,0.3,NB,NA,,,100,,5.2,1,S,2,3.2,0,BL_C4_VAAN,991B0495-5C1F-4EAE-BF83-989ED4AA80C2,47BF4A51-7878-48C2-BB5F-7C6D8607746C,
2016-07-21 13:41,Bloomfield,C6,Bloomfield+C6,NE,BL,BEPA,,BL_C6_BEPA_1,39,1,B,O,,,100,,17.1,1,S,2,15.1,0,BL_C6_BEPA,1AFC6BC7-0AD5-4877-A150-0F5215603AF5,8FA0755F-5EA1-4DBC-842A-C0D19074DBAC,
2016-07-21 13:38,Bloomfield,C6,Bloomfield+C6,NE,BL,VAAN,,BL_C6_VAAN_1,46,0.8,B,"O
I",Y,,100,Blight,11.9,1,S,2,9.9,6.8,BL_C6_VAAN,1AFC6BC7-0AD5-4877-A150-0F5215603AF5,2E649F1F-A02F-4D88-AFBD-68E61C90AA57,
2016-07-21 13:49,Bloomfield,C6,Bloomfield+C6,SE,BL,VAAN,,BL_C6_VAAN_2,42,0.3,B,"H
I",,,100,,6,1,S,2,4,0,BL_C6_VAAN,1AFC6BC7-0AD5-4877-A150-0F5215603AF5,948FEF67-6F67-453A-BDD5-384C82E8D7B4,
2016-07-21 13:54,Bloomfield,C6,Bloomfield+C6,SW,BL,VAAN,,BL_C6_VAAN_3,31,0.3,NB,"NA
I",,,90,,9,1,S,2,7,4.1,BL_C6_VAAN,1AFC6BC7-0AD5-4877-A150-0F5215603AF5,FD229089-B338-426B-B7A3-631E890BDE3A,
2016-07-21 14:03,Bloomfield,C6,Bloomfield+C6,NW,BL,VAAN,,BL_C6_VAAN_4,19,0.2,B,H,,,100,,6.1,1,S,2,4.1,0,BL_C6_VAAN,1AFC6BC7-0AD5-4877-A150-0F5215603AF5,1E992670-2C9C-4574-80DB-A1ACA81EEEEB,
2016-07-20 13:23,Bloomfield,C8,Bloomfield+C8,NE,BL,BEPA,,BL_C8_BEPA_1,26,0.3,NB,,,,10,,16.2,1,S,2,14.2,7,BL_C8_BEPA,5FF99059-4F69-4C1C-9A8C-CF2F2FB252C3,1AE63CC7-338F-4C01-9F4C-7ECC68C1BA68,
2016-07-20 13:36,Bloomfield,C8,Bloomfield+C8,SE,BL,BEPA,,BL_C8_BEPA_2,31,0.2,B,,,,10,,17.7,1,S,2,15.7,9.2,BL_C8_BEPA,5FF99059-4F69-4C1C-9A8C-CF2F2FB252C3,58D167A1-CB00-4FB7-ACED-FDE51C376068,
2016-07-22 10:47,Bloomfield,E1,Bloomfield+E1,SW,BL,BEPA,,BL_E1_BEPA_1,48,0.8,B,M,,,80,Change bag label to SW,13.2,1,S,2,11.2,3.4,BL_E1_BEPA,49F184F5-98D7-4C03-94F9-FA0477327F99,87FDAFF3-68C8-440A-AFE9-A8F79A3CCAFB,
2016-07-22 11:09,Bloomfield,E1,Bloomfield+E1,SW,BL,BEPA,,BL_E1_BEPA_2,24,0.1,B,"H
M",,,100,,6.7,1,S,2,4.7,0.7,BL_E1_BEPA,49F184F5-98D7-4C03-94F9-FA0477327F99,34B45BB6-8438-4079-B15F-0FAF8D238EFF,
2016-07-22 10:58,Bloomfield,E1,Bloomfield+E1,NE,BL,VAAN,,BL_E1_VAAN_1,26,0.3,NB,,,,100,,9.2,1,S,2,7.2,0,BL_E1_VAAN,49F184F5-98D7-4C03-94F9-FA0477327F99,05D71B24-4D72-43DA-9810-990AAE14F12A,
2016-07-22 11:03,Bloomfield,E1,Bloomfield+E1,SE,BL,VAAN,,BL_E1_VAAN_2,28,0.4,NB,,Y,,100,Blight,9.6,1,S,2,7.6,0,BL_E1_VAAN,49F184F5-98D7-4C03-94F9-FA0477327F99,705BF9EF-A9F0-477F-8C60-6B80535DBCAE,
2016-07-21 18:10,Bloomfield,F1,Bloomfield+F1,NE,BL,VAAN,,BL_F1_VAAN_1,37,0.3,NB,I,,,100,,6.4,1,S,2,4.4,0,BL_F1_VAAN,FB2F5AC7-7D9F-4974-91FC-E1C9346F05C4,277671FE-9A9B-4E82-8161-D263C6CC744A,
2016-07-21 18:19,Bloomfield,F1,Bloomfield+F1,SE,BL,VAAN,,BL_F1_VAAN_2,47,0.4,NB,,,,100,,4.4,1,S,2,2.4,0,BL_F1_VAAN,FB2F5AC7-7D9F-4974-91FC-E1C9346F05C4,B41AF220-77D2-423B-B3D1-8BC7D4685F39,
2016-07-21 18:25,Bloomfield,F1,Bloomfield+F1,SW,BL,VAAN,,BL_F1_VAAN_3,19,0.5,NB,,,,100,Old hare browse,6.4,1,S,2,4.4,0,BL_F1_VAAN,FB2F5AC7-7D9F-4974-91FC-E1C9346F05C4,603DCA9B-6D19-417B-BB8E-1CD216FDD0D4,
2016-07-21 18:32,Bloomfield,F1,Bloomfield+F1,NW,BL,VAAN,,BL_F1_VAAN_4,46,1.6,NB,,,,100,,5.6,1,S,2,3.6,0,BL_F1_VAAN,FB2F5AC7-7D9F-4974-91FC-E1C9346F05C4,7D3DAC6D-0F59-4CC9-B2F9-807128E07413,
2016-07-20 9:54,Bloomfield,F11,Bloomfield+F11,NE,BL,VAAN,,BL_F11_VAAN_1,38,0.5,NB,I,Y,,100,Blight,6.2,1,S,2,4.2,2,BL_F11_VAAN ,B4C69CA2-D6CE-432A-87C0-6E0F8E3CF0B5,5B11C415-70E9-4C36-9669-068B6C503F48,
2016-07-20 10:12,Bloomfield,F11,Bloomfield+F11,SE,BL,VAAN,,BL_F11_VAAN_2,30,0.4,NB,I,Y,,100,Blight ,7.6,1,S,2,5.6,2.7,BL_F11_VAAN ,B4C69CA2-D6CE-432A-87C0-6E0F8E3CF0B5,32798890-3DF1-432D-A5E8-B8487535CAEB,
2016-07-20 10:17,Bloomfield,F11,Bloomfield+F11,SW,BL,VAAN,,BL_F11_VAAN_3,32,0.3,NB,I,Y,,100,Blight,7,1,S,2,5,0.9,BL_F11_VAAN ,B4C69CA2-D6CE-432A-87C0-6E0F8E3CF0B5,84D8C654-344C-432E-A416-D5BD62FF33DC,
2016-07-20 10:27,Bloomfield,F11,Bloomfield+F11,NW,BL,VAAN,,BL_F11_VAAN_4,28,0.5,NB,I,Y,,100,Blight,7.9,1,S,2,5.9,2.2,BL_F11_VAAN ,B4C69CA2-D6CE-432A-87C0-6E0F8E3CF0B5,F6D5DB5F-24E2-4864-A0C8-369A4E944FEB,
2016-07-20 11:07,Bloomfield,F13,Bloomfield+F13,SE,BL,BEPA,,BL_F13_BEPA_1,108,0.5,NB,,,,80,,12.8,1,s,2,10.8,0,BL_F13_BEPA ,5A1483F7-497D-44F3-9C38-EDAA53FC3918,DEA85892-67A0-4B07-B536-04E1E2BC76F9,Unlabeled bag
2016-07-20 10:59,Bloomfield,F13,Bloomfield+F13,NE,BL,VAAN,,BL_F13_VAAN_1,33,0.4,NB,,,,100,,7.7,1,S,2,5.7,0,BL_F13_VAAN ,5A1483F7-497D-44F3-9C38-EDAA53FC3918,B33040CE-3475-46D3-9475-68C82351A845,
2016-07-20 11:11,Bloomfield,F13,Bloomfield+F13,SE,BL,VAAN,,BL_F13_VAAN_2,27,0.1,NB,O,,,100,,3.2,1,S,2,1.2,0,BL_F13_VAAN ,5A1483F7-497D-44F3-9C38-EDAA53FC3918,B1C7B5AC-A948-4A22-B936-EACA844D6DD2,
2016-07-20 11:15,Bloomfield,F13,Bloomfield+F13,SW,BL,VAAN,,BL_F13_VAAN_3,23,0.2,NB,I,Y,,100,Blight,5.3,1,S,2,3.3,0,BL_F13_VAAN ,5A1483F7-497D-44F3-9C38-EDAA53FC3918,2D58CFFA-A7EF-4F87-BCA8-BE2B44A9ACEB,
2016-07-20 11:24,Bloomfield,F13,Bloomfield+F13,NW,BL,VAAN,,BL_F13_VAAN_4,38,1.4,NB,I,Y,,100,Blight,8.3,1,S,2,6.3,2.9,BL_F13_VAAN ,5A1483F7-497D-44F3-9C38-EDAA53FC3918,9EE474FF-0305-4A23-9513-07AE6CAB18E3,
2016-07-20 6:43,Bloomfield,F3,Bloomfield+F3,NE,BL,VAAN,,BL_F3_VAAN_1,51,0.3,NB,I,,,100,,7.5,1,S,2,5.5,1.8,BL_F3_VAAN,EF02F50A-EC32-41F7-8763-C9C1AE0CE248,C7884AB1-7545-4089-B103-1CB55C4C14AA,
2016-07-20 6:48,Bloomfield,F3,Bloomfield+F3,SE,BL,VAAN,,BL_F3_VAAN_2,30,0.4,NB,I,,,100,,8,1,S,2,6,2.2,BL_F3_VAAN,EF02F50A-EC32-41F7-8763-C9C1AE0CE248,B0225153-DEB1-405B-928E-3FAF42029884,
2016-07-20 6:56,Bloomfield,F3,Bloomfield+F3,SW,BL,VAAN,,BL_F3_VAAN_3,20,0.4,NB,I,,,100,"Old hare browse, on side of old used road",5.1,1,S,2,3.1,0,BL_F3_VAAN,EF02F50A-EC32-41F7-8763-C9C1AE0CE248,9CA65621-BE81-478F-96BC-888729016758,
2016-07-20 7:06,Bloomfield,F3,Bloomfield+F3,NW,BL,VAAN,,BL_F3_VAAN_4,26,0.3,NB,I,,,100,,5.7,1,S,2,3.7,0,BL_F3_VAAN,EF02F50A-EC32-41F7-8763-C9C1AE0CE248,62F8F6DB-4054-48DA-998A-8262D046CEA3,
2016-07-20 8:00,Bloomfield,F5,Bloomfield+F5,NE,BL,ABBA,,BL_F5_ABBA_1,43,0.8,NB,,,,50,,17.5,1,S,2,15.5,0,BL_F5_ABBA,2E448A5F-DCFE-4729-BCE4-E1BD0599D16B,23413C48-B95A-4A71-AFF8-4A432454715D,
2016-07-20 8:09,Bloomfield,F5,Bloomfield+F5,NE,BL,BEPA,,BL_F5_BEPA_1,130,0.6,B,"H
M
O",,,40,,14.8,1,S,2,12.8,0,BL_F5_BEPA,2E448A5F-DCFE-4729-BCE4-E1BD0599D16B,5E215012-686B-445E-829A-2538356D1E0F,
2016-07-20 8:06,Bloomfield,F5,Bloomfield+F5,NE,BL,VAAN,,BL_F5_VAAN_1,39,0.4,NB,I,,,100,,9.2,1,S,2,7.2,3.7,BL_F5_VAAN,2E448A5F-DCFE-4729-BCE4-E1BD0599D16B,317FC93E-59C9-486B-A4E8-836DBAD2E3BE,
2016-07-20 8:18,Bloomfield,F5,Bloomfield+F5,SE,BL,VAAN,,BL_F5_VAAN_2,39,0.6,NB,I,,,100,,8.7,1,S,2,6.7,2.9,BL_F5_VAAN,2E448A5F-DCFE-4729-BCE4-E1BD0599D16B,F0FFE4E3-CF7D-405C-B3DF-EA49FA8425EB,
2016-07-20 8:33,Bloomfield,F5,Bloomfield+F5,SW,BL,VAAN,,BL_F5_VAAN_3,41,0.9,NB,,,,10,Old browse,11.4,1,S,2,9.4,5.9,BL_F5_VAAN,2E448A5F-DCFE-4729-BCE4-E1BD0599D16B,B16EF650-3EDA-4AF1-AFAE-208E206EE0BB,
2016-07-20 8:40,Bloomfield,F5,Bloomfield+F5,NW,BL,VAAN,,BL_F5_VAAN_4,32,0.7,B,O,,,90,"Berries, little bit of bloght",11.9,1,S,2,9.9,5.8,BL_F5_VAAN,2E448A5F-DCFE-4729-BCE4-E1BD0599D16B,AFC82B3C-3EA2-4208-BC3F-9C22D5187BDF,
2016-07-22 6:45,Bloomfield,F9,Bloomfield+F9,NE,BL,VAAN,,BL_F9_VAAN_1,22,0.8,NB,,Y,,90,"Blight, old browse",8.4,1,S,2,6.4,0,BL_F9_VAAN,A955E46E-6583-4023-AC52-19BF24BF40B4,D7694CDA-5572-4F03-AC74-13FF0FAEA676,sample used up in the pooling process
2016-07-22 7:00,Bloomfield,F9,Bloomfield+F9,SE,BL,VAAN,,BL_F9_VAAN_2,11,0.3,NB,,Y,,100,Blight,3.8,1,S,2,1.8,0,BL_F9_VAAN,A955E46E-6583-4023-AC52-19BF24BF40B4,0E443C3B-C4DC-465F-AB30-A4B33F3CCD65,sample used up in the pooling process
2016-07-22 7:01,Bloomfield,F9,Bloomfield+F9,SW,BL,VAAN,,BL_F9_VAAN_3,18,0.3,NB,,Y,,100,Blight,3.9,1,S,2,1.9,0,BL_F9_VAAN,A955E46E-6583-4023-AC52-19BF24BF40B4,95274AB3-AA5E-45B8-955C-B3501EB0658E,sample used up in the pooling process
2016-07-22 7:10,Bloomfield,F9,Bloomfield+F9,NW,BL,VAAN,,BL_F9_VAAN_4,33,0.3,NB,,,,100,,6.5,1,S,2,4.5,0,BL_F9_VAAN,A955E46E-6583-4023-AC52-19BF24BF40B4,044FE08B-EFE3-4D1F-9238-E8C5539044E6,sample used up in the pooling process
2016-07-22 7:40,Bloomfield,G14,Bloomfield+G14,NE,BL,VAAN,,BL_G14_VAAN_1,39,0.2,NB,,,,100,,5.8,1,S,2,3.8,0,BL_G14_VAAN,D98AAFE0-0024-4FF7-9FD1-3D0F06F09043,EEEDAE6A-9BCA-4B57-81FB-FD752D61D737,
2016-07-22 7:44,Bloomfield,G14,Bloomfield+G14,SE,BL,VAAN,,BL_G14_VAAN_2,36,0.4,B,I,,,100,,11.2,1,S,2,9.2,5,BL_G14_VAAN,D98AAFE0-0024-4FF7-9FD1-3D0F06F09043,70E66D91-BCB0-40DF-9BB5-685F1DCBF905,
2016-07-22 7:59,Bloomfield,G14,Bloomfield+G14,SW,BL,VAAN,,BL_G14_VAAN_3,50,0.5,B,I,,,100,,16.8,1,S,2,14.8,11.4,BL_G14_VAAN,D98AAFE0-0024-4FF7-9FD1-3D0F06F09043,FA09222D-1F4F-4890-8F1D-FB20070F63A3,
2016-07-22 8:05,Bloomfield,G14,Bloomfield+G14,NW,BL,VAAN,,BL_G14_VAAN_4,46,0.8,NB,I,,,100,,8.5,1,S,2,6.5,3.3,BL_G14_VAAN,D98AAFE0-0024-4FF7-9FD1-3D0F06F09043,EC73F7F6-B358-4BFA-8038-0C00BD151106,
2016-07-20 10:15,Bloomfield,I10,Bloomfield+I10,NE,BL,VAAN,,BL_I10_VAAN_1,23,0.2,B,"I
H",,,100,,5.6,1,S,2,3.6,1.8,BL_I10_VAAN,4A2F873E-B94A-431D-AD91-F5C9BEAE94F4,83EF63FF-92ED-40F5-818D-17E99C8D2AAE,
2016-07-20 10:28,Bloomfield,I10,Bloomfield+I10,SE,BL,VAAN,,BL_I10_VAAN_2,27,0.7,B,"M
I",Y,,100,Blight,10.5,1,S,2,8.5,4.6,BL_I10_VAAN,4A2F873E-B94A-431D-AD91-F5C9BEAE94F4,7EAD1E0D-8952-4FEF-8F9D-24A95F2BB9BD,
2016-07-20 10:37,Bloomfield,I10,Bloomfield+I10,SW,BL,VAAN,,BL_I10_VAAN_3,37,3,NB,I,,,100,,5.2,1,S,2,3.2,0,BL_I10_VAAN,4A2F873E-B94A-431D-AD91-F5C9BEAE94F4,C2F88515-26FC-4561-A66F-0BF2B9BE8A91,Sample completed used up in pooling process
2016-07-20 10:46,Bloomfield,I10,Bloomfield+I10,NW,BL,VAAN,,BL_I10_VAAN_4,38,0.6,B,M,,,100,,15.8,1,S,2,13.8,6.1,BL_I10_VAAN,4A2F873E-B94A-431D-AD91-F5C9BEAE94F4,1EABB408-6B3F-42BC-81AD-6D3E4D2D256B,
2016-07-19 16:06,Bloomfield,I12,Bloomfield+I12,NE,BL,VAAN,,BL_I12_VAAN_1,50,0.6,B,"O
I",Y,,70,Blight,13.7,1,S,2,11.7,6.9,BL_I12_VAAN,35D4E2CE-2B01-453F-9AD5-6972E240C4AA,0CC5DC83-DC1F-4924-8EF3-FCF07CF87EA8,
2016-07-19 16:15,Bloomfield,I12,Bloomfield+I12,SE,BL,VAAN,,BL_I12_VAAN_2,47,0.7,NB,I,Y,,100,Blight,7.8,1,S,2,5.8,3.9,BL_I12_VAAN,35D4E2CE-2B01-453F-9AD5-6972E240C4AA,80C270A8-10CA-40F3-9DE1-21B7285D8EB2,
